paramID,g,R1ratio,R2ratio,T1,T2,S_01_1,S_01_2,S_00_1,S_00_2,S_11_1,S_11_2,alpha1,theta1,kappa1,mu1,alpha2,theta2,kappa2,mu2
112,0.0184,0,0,0,0,8.096,0.043718,0.0074046016,3.99844828e-05,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
113,0.0184,0,0,0,0,8.096,2.1973,0.0074046016,0.00200965058,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
114,0.0184,0,0,0,0,8.096,0.59668,0.0074046016,0.000545723528,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
115,0.0184,0,0,0,0,8.096,0.59668,0.070815712,0.00521915996,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
116,0.0487,0,0,0,0,0.23222,0.063023,0.000212388412,5.76408358e-05,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
117,0.0487,0,0,0,0,0.23222,0.063023,0.00203122834,0.0005512621809999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
118,0.0487,0,0,0,0,0.23222,0.063023,0.019425203,0.0052718739499999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
119,0.0487,0,0,0,0,0.23222,0.063023,0.185776,0.0504184,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
120,0.0487,0,0,0,0,0.23222,0.23222,0.00203122834,0.00203122834,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
121,0.0487,0,0,0,0,0.23222,0.23222,0.019425203,0.019425203,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
122,0.0487,0,0,0,0,0.23222,0.23222,0.000212388412,0.000212388412,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
123,0.0487,0,0,0,0,0.23222,0.23222,0.185776,0.185776,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
124,0.0487,0,0,0,0,2.2307,0.1644,0.00204019822,0.0001503602399999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
125,0.0487,0,0,0,0,2.2307,0.1644,0.0195119329,0.0014380067999999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
126,0.0487,0,0,0,0,2.2307,0.1644,0.186598055,0.01375206,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
127,0.0487,0,0,0,0,2.2307,0.1644,1.78456,0.13152,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
128,0.0487,0,0,0,0,2.2307,0.044614,0.0195119329,0.0003902386579999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
129,0.0487,0,0,0,0,2.2307,0.044614,0.186598055,0.0037319611,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
130,0.0487,0,0,0,0,2.2307,0.044614,1.78456,0.0356912,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
131,0.0487,0,0,0,0,2.2307,0.044614,0.00204019822,4.08039644e-05,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
132,0.0487,0,0,0,0,2.2307,2.2307,0.0195119329,0.0195119329,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
133,0.0487,0,0,0,0,2.2307,2.2307,0.186598055,0.186598055,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
134,0.0487,0,0,0,0,2.2307,2.2307,1.78456,1.78456,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
135,0.0487,0,0,0,0,2.2307,2.2307,0.00204019822,0.00204019822,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
136,0.0487,0,0,0,0,2.2307,0.60541,0.00204019822,0.000553707986,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
137,0.0487,0,0,0,0,2.2307,0.60541,0.0195119329,0.00529552127,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
138,0.0487,0,0,0,0,2.2307,0.60541,0.186598055,0.0506425465,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
139,0.0487,0,0,0,0,2.2307,0.60541,1.78456,0.484328,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
140,0.0487,0,0,0,0,21.428,0.11571,17.142400000000002,0.092568,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
141,0.0487,0,0,0,0,21.428,0.11571,0.0195980488,0.0001058283659999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
142,0.0487,0,0,0,0,21.428,0.11571,0.187430716,0.0010121153699999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
143,0.0487,0,0,0,0,21.428,0.11571,1.7924522,0.0096791415,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
144,0.0487,0,0,0,0,21.428,1.5792,0.187430716,0.0138132623999999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
145,0.0487,0,0,0,0,21.428,0.42856,0.0195980488,0.000391960976,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
146,0.0487,0,0,0,0,21.428,0.42856,0.187430716,0.00374861432,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
147,0.0487,0,0,0,0,21.428,0.42856,1.7924522,0.035849044,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
148,0.0487,0,0,0,0,21.428,0.42856,17.142400000000002,0.342848,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
149,0.0487,0,0,0,0,21.428,1.5792,0.0195980488,0.0014443363199999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
150,0.0487,0,0,0,0,21.428,21.428,0.0195980488,0.0195980488,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
151,0.0487,0,0,0,0,21.428,5.8156,0.0195980488,0.00531894776,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
152,0.0487,0,0,0,0,21.428,5.8156,0.187430716,0.0508690531999999,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
153,0.1287,0,0,0,0,0.61368,0.61368,0.00536785896,0.00536785896,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
154,0.1287,0,0,0,0,0.61368,0.61368,0.051334332,0.051334332,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
155,0.1287,0,0,0,0,0.61368,0.16655,0.490944,0.13324,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
156,0.1287,0,0,0,0,0.61368,0.61368,0.000561271728,0.000561271728,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
157,0.1287,0,0,0,0,0.61368,0.61368,0.490944,0.490944,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
158,0.1287,0,0,0,0,0.61368,0.16655,0.000561271728,0.00015232663,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
159,0.1287,0,0,0,0,0.61368,0.16655,0.00536785896,0.00145681285,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
160,0.1287,0,0,0,0,0.61368,0.16655,0.051334332,0.0139319075,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
161,0.1287,0,0,0,0,5.895,0.1179,0.0515635649999999,0.0010312713,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
162,0.1287,0,0,0,0,5.895,0.1179,0.49311675,0.009862335,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
163,0.1287,0,0,0,0,5.895,0.1179,4.716,0.09432,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
164,0.1287,0,0,0,0,5.895,0.1179,0.005391567,0.00010783134,1,1,0.3,0.5,40,0.001,0.3,0.5,40,0.001
165,0.0184,0,0,0,0,0.087737,0.087737,8.02442602e-05,8.02442602e-05,1,1,0.7000000000000001,0.8,40,0.01,0.7000000000000001,0.8,40,0.01
166,0.0184,0,0,0,0,0.087737,0.087737,0.0007674355389999,0.0007674355389999,1,1,0.7000000000000001,0.8,40,0.01,0.7000000000000001,0.8,40,0.01
167,0.0184,0,0,0,0,0.087737,0.087737,0.0073392000499999,0.0073392000499999,1,1,0.7000000000000001,0.8,40,0.01,0.7000000000000001,0.8,40,0.01
168,0.0184,0,0,0,0,0.087737,0.087737,0.0701896,0.0701896,1,1,0.7000000000000001,0.8,40,0.01,0.7000000000000001,0.8,40,0.01
169,0.0184,0,0,0,0,0.087737,0.023812,8.02442602e-05,2.17784552e-05,1,1,0.7000000000000001,0.8,40,0.01,0.7000000000000001,0.8,40,0.01
